timestamp,data_loss,physics_loss
1768402489.274188,0.001585,0.000020
1768402489.2743812,0.001495,0.000022
1768402489.279292,0.001358,0.000021
1768402489.376537,0.002791,0.000016
1768402489.37694,0.003298,0.000016
1768402489.3771615,0.003098,0.000016
1768402489.3812006,0.002715,0.000016
1768402489.478628,0.001545,0.000019
1768402489.4788246,0.001457,0.000018
1768402489.4790847,0.001461,0.000019
1768402489.483658,0.001377,0.000020
1768402523.9049752,0.001885,0.000017
1768402523.9132233,0.001676,0.000018
1768402523.927044,0.001942,0.000017
1768402524.0535219,0.001871,0.000017
1768402524.6376133,0.002394,0.000016
1768402524.6383138,0.002502,0.000016
1768402524.639296,0.001395,0.000020
1768402524.6410067,0.002215,0.000016
1768402525.219504,0.002066,0.000018
1768402525.2196777,0.002237,0.000016
1768402525.2198994,0.002263,0.000016
1768402525.2209098,0.001270,0.000017
1768402525.8015203,0.001242,0.000018
1768402525.8020058,0.001754,0.000017
1768402525.8022723,0.001681,0.000017
1768402525.8027556,0.001234,0.000018
1768402526.3804557,0.002376,0.000016
1768402526.3805203,0.001929,0.000017
1768402526.381134,0.002265,0.000017
1768402526.3811522,0.002198,0.000015
1768402526.9605534,0.002213,0.000016
1768402526.9610598,0.002300,0.000016
1768402526.9612818,0.001140,0.000019
1768402526.961302,0.002137,0.000016
1768402527.5427454,0.001859,0.000017
1768402527.5427985,0.001148,0.000018
1768402527.5441563,0.001743,0.000016
1768402527.54614,0.001790,0.000018
1768402528.1309607,0.001248,0.000018
1768402528.1315029,0.001745,0.000017
1768402528.1317356,0.002649,0.000015
1768402528.1317701,0.001289,0.000019
1768402528.7100308,0.002609,0.000018
1768402528.7102346,0.002667,0.000017
1768402528.7102427,0.001616,0.000017
1768402528.7120924,0.001610,0.000018
1768402529.291028,0.001199,0.000019
1768402529.2910633,0.001794,0.000018
1768402529.2910807,0.002314,0.000016
1768402529.2912004,0.001820,0.000017
1768402529.8684168,0.001942,0.000017
1768402529.8687239,0.001650,0.000017
1768402529.870552,0.001352,0.000019
1768402529.8714461,0.001824,0.000017
1768402530.4526901,0.001236,0.000018
1768402530.4526958,0.001205,0.000017
1768402530.452846,0.001988,0.000017
1768402530.453628,0.001860,0.000017
1768402531.034828,0.001927,0.000017
1768402531.034827,0.002405,0.000016
1768402531.0350583,0.001764,0.000017
1768402531.0359862,0.001247,0.000020
1768402531.6158166,0.001814,0.000018
1768402531.6160204,0.002286,0.000016
1768402531.617574,0.001789,0.000017
1768402531.6199553,0.001726,0.000016
1768402532.1997993,0.001168,0.000018
1768402532.2000325,0.001205,0.000019
1768402532.20007,0.001321,0.000017
1768402532.20126,0.001621,0.000017
1768402532.7820108,0.001968,0.000017
1768402532.7826626,0.001690,0.000017
1768402532.782832,0.001604,0.000017
1768402532.7833724,0.001849,0.000018
1768402533.3622434,0.001217,0.000019
1768402533.3625224,0.001887,0.000018
1768402533.363447,0.002402,0.000016
1768402533.3689368,0.001869,0.000018
1768402533.94663,0.002013,0.000016
1768402533.9473913,0.001630,0.000017
1768402533.9480157,0.002267,0.000016
1768402533.9493344,0.001578,0.000016
1768402534.5276668,0.001840,0.000017
1768402534.5276935,0.002246,0.000016
1768402534.5281467,0.001737,0.000017
1768402534.5281487,0.001698,0.000016
1768402535.1088655,0.001980,0.000018
1768402535.109472,0.001754,0.000017
1768402535.1097157,0.002176,0.000016
1768402535.1098166,0.002349,0.000017
1768402535.688185,0.001788,0.000018
1768402535.6887357,0.001176,0.000017
1768402535.688748,0.001642,0.000016
1768402535.6898055,0.001884,0.000017
1768402536.4423892,0.002179,0.000016
1768402536.4426072,0.001785,0.000017
1768402536.4428163,0.001942,0.000018
1768402536.443798,0.002318,0.000016
1768402537.0235329,0.001684,0.000017
1768402537.0242074,0.002367,0.000016
1768402537.0243065,0.002240,0.000015
1768402537.0255256,0.002278,0.000016
1768402537.8283331,0.001194,0.000017
1768402537.8289382,0.002179,0.000016
1768402537.8291595,0.001377,0.000019
1768402537.8294077,0.001861,0.000018
1768402538.4107609,0.001192,0.000019
1768402538.4112597,0.001837,0.000017
